<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
FIVE;D;20180508;000000;1.849.0000000;1.900.0000000;1.829.0000000;1.845.0000000;196.097
FIVE;D;20180510;000000;1.860.0000000;1.885.0000000;1.780.0000000;1.802.0000000;182.541
FIVE;D;20180511;000000;1.810.0000000;1.822.0000000;1.785.5000000;1.799.5000000;239.002
FIVE;D;20180514;000000;1.820.0000000;1.867.5000000;1.800.0000000;1.854.0000000;251.548
FIVE;D;20180515;000000;1.917.0000000;1.953.5000000;1.875.0000000;1.911.0000000;995.288
FIVE;D;20180516;000000;1.909.0000000;1.934.0000000;1.897.0000000;1.917.5000000;550.593
FIVE;D;20180517;000000;1.924.5000000;1.930.0000000;1.896.0000000;1.925.0000000;492.665
FIVE;D;20180518;000000;1.908.0000000;1.925.0000000;1.874.0000000;1.880.0000000;537.810
FIVE;D;20180521;000000;1.880.0000000;1.904.5000000;1.860.0000000;1.864.5000000;583.010
FIVE;D;20180522;000000;1.870.5000000;1.874.5000000;1.817.5000000;1.844.0000000;420.389
FIVE;D;20180523;000000;1.844.0000000;1.881.0000000;1.837.5000000;1.871.5000000;432.943
FIVE;D;20180524;000000;1.805.5000000;1.814.5000000;1.792.0000000;1.813.0000000;537.274
FIVE;D;20180525;000000;1.818.5000000;1.878.5000000;1.800.0000000;1.844.5000000;586.328
FIVE;D;20180528;000000;1.845.5000000;1.925.0000000;1.845.0000000;1.915.0000000;659.206
FIVE;D;20180529;000000;1.907.5000000;1.916.5000000;1.783.0000000;1.840.0000000;1.271.097
FIVE;D;20180530;000000;1.833.5000000;1.836.0000000;1.760.0000000;1.785.0000000;1.360.197
FIVE;D;20180531;000000;1.792.0000000;1.808.0000000;1.725.0000000;1.808.0000000;7.111.050
FIVE;D;20180601;000000;1.782.0000000;1.800.0000000;1.748.0000000;1.748.0000000;533.742
FIVE;D;20180604;000000;1.757.0000000;1.783.0000000;1.754.5000000;1.771.0000000;304.580
FIVE;D;20180605;000000;1.758.0000000;1.780.0000000;1.751.5000000;1.770.0000000;142.356
FIVE;D;20180606;000000;1.755.0000000;1.790.0000000;1.754.5000000;1.758.5000000;836.347
FIVE;D;20180607;000000;1.764.5000000;1.789.0000000;1.743.5000000;1.743.5000000;289.373
FIVE;D;20180608;000000;1.743.0000000;1.750.0000000;1.652.0000000;1.675.0000000;393.215
FIVE;D;20180609;000000;1.689.5000000;1.689.5000000;1.671.5000000;1.680.5000000;9.875
FIVE;D;20180611;000000;1.683.0000000;1.727.0000000;1.670.5000000;1.675.5000000;120.447
FIVE;D;20180613;000000;1.684.0000000;1.694.0000000;1.650.5000000;1.650.5000000;178.397
FIVE;D;20180614;000000;1.660.5000000;1.675.0000000;1.617.0000000;1.645.5000000;128.100
FIVE;D;20180615;000000;1.657.0000000;1.670.0000000;1.627.5000000;1.627.5000000;220.635
FIVE;D;20180618;000000;1.626.5000000;1.664.5000000;1.615.0000000;1.645.0000000;193.229
FIVE;D;20180619;000000;1.640.0000000;1.694.0000000;1.633.0000000;1.682.0000000;165.691
FIVE;D;20180620;000000;1.695.0000000;1.746.5000000;1.677.0000000;1.730.0000000;179.135
FIVE;D;20180621;000000;1.730.5000000;1.795.0000000;1.730.5000000;1.770.0000000;184.252
FIVE;D;20180622;000000;1.770.0000000;1.780.0000000;1.726.5000000;1.729.0000000;155.551
FIVE;D;20180625;000000;1.744.5000000;1.792.5000000;1.727.5000000;1.766.5000000;156.696
FIVE;D;20180626;000000;1.768.0000000;1.790.0000000;1.713.5000000;1.743.0000000;101.417
FIVE;D;20180627;000000;1.759.5000000;1.773.5000000;1.687.5000000;1.690.0000000;234.185
FIVE;D;20180628;000000;1.698.0000000;1.720.5000000;1.672.0000000;1.673.5000000;119.866
FIVE;D;20180629;000000;1.685.0000000;1.727.0000000;1.660.5000000;1.727.0000000;186.346
FIVE;D;20180702;000000;1.690.0000000;1.700.0000000;1.661.0000000;1.687.0000000;100.998
FIVE;D;20180703;000000;1.671.0000000;1.687.5000000;1.617.0000000;1.617.5000000;201.116
FIVE;D;20180704;000000;1.621.0000000;1.681.0000000;1.612.5000000;1.645.5000000;155.889
FIVE;D;20180705;000000;1.645.0000000;1.700.0000000;1.641.0000000;1.700.0000000;171.196
FIVE;D;20180706;000000;1.691.5000000;1.700.0000000;1.658.0000000;1.685.0000000;105.521
FIVE;D;20180709;000000;1.693.0000000;1.765.0000000;1.654.0000000;1.751.5000000;239.826
FIVE;D;20180710;000000;1.768.0000000;1.780.0000000;1.742.5000000;1.780.0000000;118.244
FIVE;D;20180711;000000;1.764.0000000;1.775.5000000;1.710.0000000;1.715.5000000;100.962
FIVE;D;20180712;000000;1.712.0000000;1.744.0000000;1.706.5000000;1.721.0000000;61.253
FIVE;D;20180713;000000;1.720.5000000;1.758.0000000;1.711.0000000;1.758.0000000;71.336
FIVE;D;20180716;000000;1.750.5000000;1.765.0000000;1.712.0000000;1.760.0000000;84.273
FIVE;D;20180717;000000;1.732.5000000;1.769.0000000;1.710.0000000;1.767.0000000;126.502
FIVE;D;20180718;000000;1.767.5000000;1.884.5000000;1.753.0000000;1.840.0000000;398.320
FIVE;D;20180719;000000;1.840.0000000;1.870.0000000;1.735.0000000;1.768.0000000;263.530
FIVE;D;20180720;000000;1.753.5000000;1.766.5000000;1.680.0000000;1.691.5000000;127.797
FIVE;D;20180723;000000;1.688.0000000;1.738.0000000;1.688.0000000;1.738.0000000;75.245
FIVE;D;20180724;000000;1.725.0000000;1.763.5000000;1.712.0000000;1.734.0000000;71.611
FIVE;D;20180725;000000;1.724.5000000;1.747.5000000;1.707.0000000;1.720.0000000;72.247
FIVE;D;20180726;000000;1.725.0000000;1.761.0000000;1.701.0000000;1.758.5000000;106.807
